time,open,high,low,close,Plot,Lagged Liquidity (12 weeks),Plot,Volume
1721779200,65943,67112,65117,65376,29.03953897442,29.17650042446,29.03953897442,1796.81531975
1721865600,65363,66135,63424,65796,29.0928103822,29.160413168912,29.0928103822,2022.66213353
1721952000,65794,68214,65712,67921,29.07091389812,29.099673195068,29.07091389812,1786.03393977
1722038400,67952,69404,66637,67892,29.07091389812,29.09854982659,29.07091389812,1875.17940599
1722124800,67837,68298,67064,68264,29.07091389812,29.15643768107,29.07091389812,861.95803297
1722211200,68240,70016,66445,66780,29.032668613325,29.100733764292,29.032668613325,2363.69521213
1722297600,66765,66983,65302,66171,29.10027448644,29.100733764292,29.10027448644,1561.0859685
1722384000,66170,66814,64507,64612,29.243648216028,29.100733764292,29.243648216028,1629.25774256
1722470400,64612,65568,62233,65293,29.257266936503,29.098665498016,29.257266936503,2890.60704678
1722556800,65293,65548,61169,61421,29.538128400542,29.14826879841,29.538128400542,3479.04685468
1722643200,61419,62151,59839,60672,29.538128400542,29.315979518642,29.538128400542,1821.49896119
1722729600,60669,61073,57155,58142,29.538128400542,29.322360514316,29.538128400542,2394.63310114
1722816000,58137,58280,49577,54014,29.708383652572,29.253142770974,29.708383652572,8238.87212141
1722902400,54040,57058,53977,56053,29.666472139106,29.253142770974,29.666472139106,3769.72498337
1722988800,56048,57737,54568,55136,29.587015608265,29.253142770974,29.587015608265,3993.76663285
1723075200,55132,62729,54748,61699,29.561695638281,29.177086511286,29.561695638281,3876.67202263
1723161600,61733,61740,59571,60860,29.583045840042,29.171049244168,29.583045840042,2241.31073361
1723248000,60842,61476,60270,60952,29.583045840042,29.170004927602,29.583045840042,1018.51751275
1723334400,60940,61868,58315,58725,29.583045840042,29.174917410598,29.583045840042,1496.95386612
1723420800,58718,60700,57681,59362,29.51747494498,29.26625239449,29.51747494498,3412.56068233
1723507200,59361,61600,58455,60620,29.615714364052,29.26625239449,29.615714364052,2874.93115361
1723593600,60607,61809,58456,58697,29.592121464191,29.26625239449,29.592121464191,3027.98966223
1723680000,58694,59851,56138,57557,29.5016470942,29.28333968123,29.5016470942,3240.34341745
1723766400,57556,59841,57104,58883,29.57176072285,29.298448210284,29.57176072285,2945.17331922
1723852800,58883,59704,58828,59487,29.57176072285,29.181331828132,29.57176072285,913.41960834
1723939200,59487,60271,58414,58430,29.57176072285,29.258396354374,29.57176072285,1375.04482657
1724025600,58440,59631,57844,59497,29.68470802236,29.230410186776,29.68470802236,2045.09787264
1724112000,59462,61424,58553,59012,29.791993042924,29.230410186776,29.791993042924,2569.3787569
1724198400,59012,61838,58816,61159,29.823486044314,29.230410186776,29.823486044314,2508.01462281
1724284800,61169,61416,59774,60383,29.729337393777,29.384202939995,29.729337393777,1928.87061487
1724371200,60383,64988,60348,64085,29.933928122596,29.41429987189,29.933928122596,3470.07123728
1724457600,64095,64506,63594,64174,29.933928122596,29.334255751814,29.933928122596,1163.89809817
1724544000,64176,65103,63814,64262,29.933928122596,29.367631780065,29.933928122596,918.66616491
1724630400,64248,64502,62826,62852,29.858694018696,29.19512773678,29.858694018696,1460.73492982
1724716800,62822,63236,58090,59427,29.920281127056,29.19512773678,29.920281127056,2540.60072662
1724803200,59433,60212,57866,59033,29.768047810574,29.19512773678,29.768047810574,2782.47691366
1724889600,59033,61182,58701,59365,29.735745056874,29.147046015326,29.735745056874,2511.22388288
1724976000,59363,59905,57721,59113,29.648109704578,29.12340931502,29.648109704578,2039.74822306
1725062400,59113,59431,58750,58967,29.753894129732,29.167300013028,29.753894129732,738.75417566
1725148800,58967,59060,57205,57310,29.753894129732,29.118658507124,29.753894129732,1650.43196007
1725235200,57278,59411,57131,59133,29.725879711786,29.096799545936,29.725879711786,1642.91265395
1725321600,59123,59803,57402,57493,29.8434730761,29.096799545936,29.8434730761,1476.93516508
1725408000,57506,58518,55602,57956,29.964820213268,29.096799545936,29.964820213268,2077.78659826
1725494400,57974,58315,55649,56158,30.062996521392,29.162777697723,30.062996521392,1485.69244111
1725580800,56179,56984,52546,53955,30.035239140088,29.15759081109,30.035239140088,2938.3981761
1725667200,53947,54839,53731,54147,30.035239140088,29.111422364448,30.035239140088,1046.863932
1725753600,54150,55306,53636,54866,30.035239140088,28.987615091801,30.035239140088,1238.32664936
1725840000,54876,58070,54587,57059,29.942281390626,28.907539155764,29.942281390626,2644.12002332
1725926400,57056,58042,56406,57659,29.950968038793,28.907539155764,29.950968038793,1878.56149502
1726012800,57646,58000,55554,57342,29.92770078471,28.907539155764,29.92770078471,3024.35845323
1726099200,57342,58560,57335,58139,30.004944099119,28.948870698256,30.004944099119,2392.01885139
1726185600,58139,60670,57640,60545,30.067468998821,28.892682886673,30.067468998821,2622.28151587
1726272000,60551,60655,59438,60012,30.067468998821,28.718662268721,30.067468998821,744.81553897
1726358400,60012,60388,58708,59130,30.067468998821,28.722917907513,30.067468998821,1377.74274665
1726444800,59121,59209,57488,58212,30.175513406441,28.561784941518,30.175513406441,1692.12077561
1726531200,58208,61331,57627,60316,30.075867591849,28.561784941518,30.075867591849,2677.19875968
1726617600,60318,61787,59189,61757,30.017842120891,28.5886438281,30.017842120891,3237.8308454
1726704000,61765,63882,61584,62940,30.06042176462,28.77834527066,30.06042176462,3050.81602877
1726790400,62950,64121,62353,63211,29.971538185698,28.778371039875,29.971538185698,1646.72507369
1726876800,63189,63574,62760,63364,29.971538185698,28.82790542097,29.971538185698,578.82075001
1726963200,63364,63990,62390,63563,29.971538185698,28.873457311975,29.971538185698,932.57108331
1727049600,63577,64730,62585,63325,29.919468902552,28.93298314861,29.919468902552,1113.07851811
1727136000,63360,64677,62720,64260,30.00129519109,28.93298314861,30.00129519109,1621.50232416
1727222400,64291,64795,62941,63147,29.809398714728,28.93298314861,29.809398714728,1172.76426267
1727308800,63121,65851,62675,65175,29.866227090343,28.904778877885,29.866227090343,1758.77420578
1727395200,65171,66508,64840,65781,29.904356015912,28.8779143678,29.904356015912,1261.81543351
1727481600,65809,66255,65442,65876,29.904356015912,28.89843545128,29.904356015912,557.50374744
1727568000,65875,66071,65450,65601,29.904356015912,29.05350616198,29.904356015912,487.19186994
1727654400,65605,65634,62859,63302,30.030888166255,29.11584781316,30.030888166255,1759.70729545
1727740800,63331,64122,60164,60807,30.029581062758,29.11584781316,30.029581062758,2797.97709897
1727827200,60760,62350,59972,60634,29.864773817789,29.11584781316,29.864773817789,2437.72512955
1727913600,60627,61461,59860,60745,29.848236504986,29.074536381565,29.848236504986,1412.60368684
